Age	Place	DivPlace	DIV	DivAge	Time	BostonQualifier	HomeStateOrCountry
36	2001	328	M35-39	35-39	203.8	N	VA
42	966	138	M40-44	40-44	188	Y	NC
41	68	2	M40-44	40-44	155.68	Y	DEU
30	555	134	M30-34	30-34	178.85	Y	NY
32	267	70	M30-34	30-34	170.28	Y	NY
41	245	18	M40-44	40-44	169.48	Y	MEX
39	1124	198	M35-39	35-39	190.68	N	FRA
53	1129	52	M50-54	50-54	190.73	Y	NJ
32	233	64	M30-34	30-34	169.27	Y	DEU
25	1863	82	F25-29	25-29	202.08	Y	MA
40	2491	338	M40-44	40-44	208.32	N	NY
55	2224	51	M55-59	55-59	205.97	Y	MEX
28	1512	58	F25-29	25-29	197.63	Y	OH
55	1567	28	M55-59	55-59	198.53	Y	OH
42	524	64	M40-44	40-44	178.28	Y	NZL
50	2080	10	F50-54	50-54	204.57	Y	NY
28	1506	226	M25-29	25-29	197.55	N	FRA
42	1577	228	M40-44	40-44	198.7	N	MEX
39	1472	251	M35-39	35-39	197.08	N	NY
34	1416	278	M30-34	30-34	196.17	N	COL
24	1477	13	F20-24	20-24	197.2	Y	AR
37	2221	355	M35-39	35-39	205.9	N	NC
50	253	3	M50-54	50-54	169.73	Y	NY
27	1119	41	F25-29	25-29	190.58	Y	NY
33	1438	284	M30-34	30-34	196.52	N	ID
28	2033	295	M25-29	25-29	204.03	N	NY
44	1585	34	F40-44	40-44	198.83	Y	SRB
36	960	174	M35-39	35-39	187.88	N	NY
34	1102	42	F30-34	30-34	190.15	Y	NY
